"","Site","Number","Height.m","Height.ft","CBH.m","CBH.in","DBH.in","this.tree.predate","native.stand.predate","Note"
"75","OP","DF5",21.6,70.9,1.2,47,15,"no","no",""
"76","PS","DF1",38.6,126.6,2.7,104.5,33.3,"yes","yes",""
"77","PS","DF2",40.6,133.2,2.5,97.5,31,"yes","yes",""
"78","PS","DF3",42,137.8,1.5,61,19.4,"yes","yes",""
"79","PS","DF4",41.8,137.1,2.2,87,27.7,"yes","yes",""
"80","PS","DF5",35,114.8,2.5,97,30.9,"yes","yes",""
"81","RW","DF1",22,72.2,1.6,62.5,19.9,"unknown","yes",""
"82","RW","DF2",24.4,80.1,1.7,65,20.7,"unknown","yes",""
"83","RW","DF3",28.4,93.2,1.3,49.5,15.8,"unknown","yes",""
"84","RW","DF4",28.8,94.5,1.7,68.5,21.8,"unknown","yes",""
"85","RW","DF5",25.8,84.6,1.3,49.5,15.8,"unknown","yes",""
"86","VV","DF1",18.8,61.7,1.7,67,21.3,"no","no","only two trees on site"
"87","VV","DF2",17,55.8,1.2,48.5,15.4,"no","no",""
"88","VV","DF3",0,0,0,0,0,"na","no",""
"89","VV","DF4",0,0,0,0,0,"na","no",""
"90","VV","DF5",0,0,0,0,0,"na","no",""
"91","WR","DF1",28.2,92.5,1.4,54,17.2,"no","yes",""
"92","WR","DF2",23.2,76.1,1.5,61,19.4,"no","yes",""
"93","WR","DF3",24.4,80.1,1.5,58,18.5,"no","yes",""
"94","WR","DF4",23.4,76.8,1.4,55,17.5,"no","yes",""
"95","WR","DF5",22.8,74.8,1.4,55,17.5,"no","yes",""
"96","CO","DF1",23.6,77.4,1.1,45,14.3,"unknown","no","missing one measurement?"
"97","CO","DF2",20.4,66.9,1.4,55.5,17.7,"unknown","no",""
"98","CO","DF3",21,68.9,1.1,44.5,14.2,"unknown","no",""
"99","CO","DF4",23.4,76.8,1.4,54.5,17.3,"unknown","no",""
"100","CO","DF5",0,0,0,0,0,"na","no",""
"101",NA,"",NA,NA,NA,NA,NA,"","",""
